Company,Event Name,Time,Venue,Stacks Needed,Rewards,Website Link,YT Related,About
Google,Google Summer of Code (GSoC),March - August,Online,"Development, Open Source Contribution","Stipend, mentoring, potential job opportunities",https://summerofcode.withgoogle.com/,Google Summer of Code 2023 Experience,"So you think you’re ready for the big leagues of open-source, huh? GSoC gives you a few months to prove it by pairing you with organizations who’ll trust you with real-world projects. Think of it as the summer camp where you’re not only the camper but also the firewood and the scout leader. You’ll get a stipend, a mentor, and a chance to shine—or at least survive."
Google,Google Code Jam,April - August,Online,"Competitive Programming, Algorithm Design","Cash prizes, Google swag, finals invitation",https://codingcompetitions.withgoogle.com/codejam,Google Code Jam Solutions,"Google Code Jam: where coders go to flex, sweat, and occasionally cry over algorithms. If you’re the type who’d rather eat loops and data structures for breakfast, Code Jam’s your buffet. It’s a multi-round event with exclusive access to Google HQ for the grand finale. So, if you’re ready to feel both invincible and vulnerable in record time, bring your A-game."
Google,Google Hash Code,February - April,"Online, regional hubs for finals","Algorithms, Competitive Programming","Cash prizes, Google merchandise",https://codingcompetitions.withgoogle.com/hashcode,Google Hash Code Finals,"Hash Code is a team-based problem-solving extravaganza where Google throws real-world challenges at you just to see if you can handle the heat. Gather your friends, break out the caffeine, and try not to destroy any friendships along the way. The best teams get invited to a Google office for finals, so if coding under pressure with your friends sounds fun, well... good luck!"
Google,Google Arcade,Varies,Online,"Game Development, Programming","Badges, swag, potential recognition",https://arcade.withgoogle.com/,Google Arcade Game Development,"Google Arcade is basically Google’s playroom, where you get to mess around with Google’s experimental toys and projects. It’s like the ultimate playground for developers, except instead of swings and slides, it’s APIs and dev tools. If you’re down to poke around and maybe break some stuff, Arcade has the games, and you get the prizes."
Google,Google Cloud Hero,Varies,Online,"Cloud Computing, DevOps, Data Science","Google Cloud certifications, swag, discounts",https://cloud.google.com/hero,Google Cloud Hero Challenge Tips,"Want to show off your cloud skills in a series of challenges? Google Cloud Hero is here for all the cloud enthusiasts who love deploying virtual machines and creating data pipelines. Think of it as a treasure hunt, but the treasure is Google Cloud credits, and the only ones following you are GCP nerds. Perfect for those who think they’re too cool for AWS."
Google,Google Kick Start,February - November,Online,"Competitive Programming, Problem-Solving","Cash prizes, Google swag, regional recognition",https://codingcompetitions.withgoogle.com/kickstart,Google Kick Start Solutions,"Google Kick Start is for those who think solving complex algorithms for fun isn’t a red flag. It’s a series of rounds throughout the year with a competitive coding twist. It’s like a marathon, but instead of running, you’re chained to your keyboard, solving math puzzles. Get ready to test the limits of both your coding skills and your caffeine tolerance."
Meta,Meta Hacker Cup,June - December,"Online, with finals onsite at Meta HQ","Competitive Programming, Algorithms","Cash prizes, Meta swag, possible internship offers",https://www.facebook.com/codingcompetitions/hacker-cup,Meta Hacker Cup Solutions,"The Meta Hacker Cup is Meta’s version of a coding gauntlet, and if you make it through the rounds, you might just earn a shot at fame, glory, and cash prizes. Oh, and Meta swag—can’t forget the swag. If you love bragging rights and surviving insane algorithmic challenges, this one’s for you. But be warned: the problems are as brutal as they are addictive."
Meta,Meta Developer Circles Community Challenge,Varies (announced yearly),Online,"Web Development, Machine Learning, AR/VR, Mobile Development","Cash prizes, Meta swag, social media shout-outs",https://developers.facebook.com/developercircles/,Meta Developer Circles Community Challenge Projects,"Meta’s Developer Circles Community Challenge is like a hackathon with a heart, encouraging developers to make a positive impact using Meta’s APIs. It’s all about helping communities while showing Meta what you can do. Cash, social media shoutouts, and the chance to feel like a hero? You’re either saving the world or just taking a shortcut to tech fame. Either way, it’s a win."
Amazon,Amazon Alexa Skills Challenge,Varies,Online,"Voice Development, AI/ML, JavaScript","Cash prizes, Amazon Echo devices, Amazon credits",https://developer.amazon.com/en-US/alexa/challenges,Alexa Skill Development Tutorials,"Want to teach Alexa some new tricks? This challenge is all about outsmarting everyone else by creating the coolest new skill for Alexa. The top ideas win cash, Amazon credits, and the satisfaction of knowing you’ve made Alexa that much smarter. Just remember, Alexa’s always listening, so better make it good—she’ll judge you if you don’t."
Amazon,Amazon CodeWhisperer Challenge,Varies,Online,"AI, Machine Learning, Code Generation","Cash prizes, Amazon merchandise, developer tools access",https://aws.amazon.com/codewhisperer/,Amazon CodeWhisperer Tutorials,"Amazon’s CodeWhisperer Challenge is for developers who want to explore coding with AI assistance. Think of it as Amazon’s way of saying, “Let’s see if our AI can write code better than you.” Cash, tools, and developer perks are up for grabs if you can make the AI work with you rather than against you. Give it a shot, if only to see who’s really in control."
